CNPJ_CIA;DT_REFER;VERSAO;DENOM_CIA;QT_ACAO_ORDIN_CAP_INTEGR;QT_ACAO_PREF_CAP_INTEGR;QT_ACAO_TOTAL_CAP_INTEGR;QT_ACAO_ORDIN_TESOURO;QT_ACAO_PREF_TESOURO;QT_ACAO_TOTAL_TESOURO
02.635.522/0001-95;2025-03-31;1;JALLES MACHADO S.A.;303541864;0;303541864;1994200;0;1994200
06.981.381/0001-13;2025-03-31;1;CTC - CENTRO DE TECNOLOGIA CANAVIEIRA S.A.;320748000;0;320748000;0;0;0
07.628.528/0001-59;2025-06-30;1;BRASILAGRO - CIA BRAS DE PROP AGRICOLAS;102683444;0;102683444;3067987;0;3067987
08.070.508/0001-78;2025-03-31;1;RAIZEN ENERGIA S.A.;22322879019;0;22322879019;0;0;0
08.322.396/0001-03;2025-03-31;1;CERRADINHO BIOENERGIA S.A.;458277128;0;458277128;0;0;0
33.453.598/0001-23;2025-03-31;1;RAÍZEN S.A.;8993572584;1358936900;10352509484;0;18263674;18263674
51.466.860/0001-56;2025-03-31;1;SAO MARTINHO S.A.;332435391;0;332435391;3857600;0;3857600
64.904.295/0001-03;2025-02-28;1;CAMIL ALIMENTOS S.A.;350000000;0;350000000;8928768;0;8928768
88.613.658/0001-10;2025-06-30;1;PETTENATI S.A. INDUSTRIA TEXTIL;16016924;32029564;48046488;0;0;0
