CNPJ_CIA;DT_REFER;VERSAO;DENOM_CIA;CD_CVM;GRUPO_DFP;MOEDA;ESCALA_MOEDA;ORDEM_EXERC;DT_INI_EXERC;DT_FIM_EXERC;CD_CONTA;DS_CONTA;VL_CONTA;ST_CONTA_FIXA
02.635.522/0001-95;2025-03-31;1;JALLES MACHADO S.A.;025496;DF Individual - Demonstração de Valor Adicionado;REAL;MIL;ÚLTIMO;2024-04-01;2025-03-31;7.02.03;Perda/Recuperação de Valores Ativos;459.0000000000;S
02.635.522/0001-95;2025-03-31;1;JALLES MACHADO S.A.;025496;DF Individual - Demonstração de Valor Adicionado;REAL;MIL;PENÚLTIMO;2023-04-01;2024-03-31;7.02.04;Outros;-9930.0000000000;S
02.635.522/0001-95;2025-03-31;1;JALLES MACHADO S.A.;025496;DF Individual - Demonstração de Valor Adicionado;REAL;MIL;ÚLTIMO;2024-04-01;2025-03-31;7.02.04;Outros;7825.0000000000;S
02.635.522/0001-95;2025-03-31;1;JALLES MACHADO S.A.;025496;DF Individual - Demonstração de Valor Adicionado;REAL;MIL;PENÚLTIMO;2023-04-01;2024-03-31;7.02.04.01;Ganho (perda) líquido decorrente de mudança de valor justo dos ativos biológicos;0.0000000000;N
02.635.522/0001-95;2025-03-31;1;JALLES MACHADO S.A.;025496;DF Individual - Demonstração de Valor Adicionado;REAL;MIL;ÚLTIMO;2024-04-01;2025-03-31;7.02.04.01;Ganho (perda) líquido decorrente de mudança de valor justo dos ativos biológicos;0.0000000000;N
02.635.522/0001-95;2025-03-31;1;JALLES MACHADO S.A.;025496;DF Individual - Demonstração de Valor Adicionado;REAL;MIL;PENÚLTIMO;2023-04-01;2024-03-31;7.02.04.02;Reconhecimento (baixa) de valor justo de CBIOS;-9930.0000000000;N
02.635.522/0001-95;2025-03-31;1;JALLES MACHADO S.A.;025496;DF Individual - Demonstração de Valor Adicionado;REAL;MIL;ÚLTIMO;2024-04-01;2025-03-31;7.02.04.02;Reconhecimento (baixa) de valor justo de CBIOS;7825.0000000000;N
02.635.522/0001-95;2025-03-31;1;JALLES MACHADO S.A.;025496;DF Individual - Demonstração de Valor Adicionado;REAL;MIL;PENÚLTIMO;2023-04-01;2024-03-31;7.02.04.03;Ganho por compra vantajosa em controlada;0.0000000000;N
02.635.522/0001-95;2025-03-31;1;JALLES MACHADO S.A.;025496;DF Individual - Demonstração de Valor Adicionado;REAL;MIL;ÚLTIMO;2024-04-01;2025-03-31;7.02.04.03;Ganho por compra vantajosa em controlada;0.0000000000;N
02.635.522/0001-95;2025-03-31;1;JALLES MACHADO S.A.;025496;DF Individual - Demonstração de Valor Adicionado;REAL;MIL;PENÚLTIMO;2023-04-01;2024-03-31;7.03;Valor Adicionado Bruto;1209556.0000000000;S
02.635.522/0001-95;2025-03-31;1;JALLES MACHADO S.A.;025496;DF Individual - Demonstração de Valor Adicionado;REAL;MIL;ÚLTIMO;2024-04-01;2025-03-31;7.03;Valor Adicionado Bruto;1449692.0000000000;S
02.635.522/0001-95;2025-03-31;1;JALLES MACHADO S.A.;025496;DF Individual - Demonstração de Valor Adicionado;REAL;MIL;PENÚLTIMO;2023-04-01;2024-03-31;7.04;Retenções;-620748.0000000000;S
02.635.522/0001-95;2025-03-31;1;JALLES MACHADO S.A.;025496;DF Individual - Demonstração de Valor Adicionado;REAL;MIL;ÚLTIMO;2024-04-01;2025-03-31;7.04;Retenções;-689722.0000000000;S
02.635.522/0001-95;2025-03-31;1;JALLES MACHADO S.A.;025496;DF Individual - Demonstração de Valor Adicionado;REAL;MIL;PENÚLTIMO;2023-04-01;2024-03-31;7.04.01;Depreciação, Amortização e Exaustão;-620748.0000000000;S
02.635.522/0001-95;2025-03-31;1;JALLES MACHADO S.A.;025496;DF Individual - Demonstração de Valor Adicionado;REAL;MIL;ÚLTIMO;2024-04-01;2025-03-31;7.04.01;Depreciação, Amortização e Exaustão;-689722.0000000000;S
02.635.522/0001-95;2025-03-31;1;JALLES MACHADO S.A.;025496;DF Individual - Demonstração de Valor Adicionado;REAL;MIL;PENÚLTIMO;2023-04-01;2024-03-31;7.04.02;Outras;0.0000000000;S
02.635.522/0001-95;2025-03-31;1;JALLES MACHADO S.A.;025496;DF Individual - Demonstração de Valor Adicionado;REAL;MIL;ÚLTIMO;2024-04-01;2025-03-31;7.04.02;Outras;0.0000000000;S
02.635.522/0001-95;2025-03-31;1;JALLES MACHADO S.A.;025496;DF Individual - Demonstração de Valor Adicionado;REAL;MIL;PENÚLTIMO;2023-04-01;2024-03-31;7.05;Valor Adicionado Líquido Produzido;588808.0000000000;S
02.635.522/0001-95;2025-03-31;1;JALLES MACHADO S.A.;025496;DF Individual - Demonstração de Valor Adicionado;REAL;MIL;ÚLTIMO;2024-04-01;2025-03-31;7.05;Valor Adicionado Líquido Produzido;759970.0000000000;S
02.635.522/0001-95;2025-03-31;1;JALLES MACHADO S.A.;025496;DF Individual - Demonstração de Valor Adicionado;REAL;MIL;PENÚLTIMO;2023-04-01;2024-03-31;7.06;Vlr Adicionado Recebido em Transferência;1276901.0000000000;S
02.635.522/0001-95;2025-03-31;1;JALLES MACHADO S.A.;025496;DF Individual - Demonstração de Valor Adicionado;REAL;MIL;ÚLTIMO;2024-04-01;2025-03-31;7.06;Vlr Adicionado Recebido em Transferência;1637232.0000000000;S
02.635.522/0001-95;2025-03-31;1;JALLES MACHADO S.A.;025496;DF Individual - Demonstração de Valor Adicionado;REAL;MIL;PENÚLTIMO;2023-04-01;2024-03-31;7.06.01;Resultado de Equivalência Patrimonial;96264.0000000000;S
02.635.522/0001-95;2025-03-31;1;JALLES MACHADO S.A.;025496;DF Individual - Demonstração de Valor Adicionado;REAL;MIL;ÚLTIMO;2024-04-01;2025-03-31;7.06.01;Resultado de Equivalência Patrimonial;-2273.0000000000;S
02.635.522/0001-95;2025-03-31;1;JALLES MACHADO S.A.;025496;DF Individual - Demonstração de Valor Adicionado;REAL;MIL;PENÚLTIMO;2023-04-01;2024-03-31;7.06.02;Receitas Financeiras;114055.0000000000;S
02.635.522/0001-95;2025-03-31;1;JALLES MACHADO S.A.;025496;DF Individual - Demonstração de Valor Adicionado;REAL;MIL;ÚLTIMO;2024-04-01;2025-03-31;7.06.02;Receitas Financeiras;146036.0000000000;S
02.635.522/0001-95;2025-03-31;1;JALLES MACHADO S.A.;025496;DF Individual - Demonstração de Valor Adicionado;REAL;MIL;PENÚLTIMO;2023-04-01;2024-03-31;7.06.03;Outros;1066582.0000000000;S
02.635.522/0001-95;2025-03-31;1;JALLES MACHADO S.A.;025496;DF Individual - Demonstração de Valor Adicionado;REAL;MIL;ÚLTIMO;2024-04-01;2025-03-31;7.06.03;Outros;1493469.0000000000;S
02.635.522/0001-95;2025-03-31;1;JALLES MACHADO S.A.;025496;DF Individual - Demonstração de Valor Adicionado;REAL;MIL;PENÚLTIMO;2023-04-01;2024-03-31;7.06.03.01;Ganho com variações cambiais;29137.0000000000;N
02.635.522/0001-95;2025-03-31;1;JALLES MACHADO S.A.;025496;DF Individual - Demonstração de Valor Adicionado;REAL;MIL;ÚLTIMO;2024-04-01;2025-03-31;7.06.03.01;Ganho com variações cambiais;37110.0000000000;N
02.635.522/0001-95;2025-03-31;1;JALLES MACHADO S.A.;025496;DF Individual - Demonstração de Valor Adicionado;REAL;MIL;PENÚLTIMO;2023-04-01;2024-03-31;7.06.03.02;Ganho em operações com derivativos;1037445.0000000000;N
