CNPJ_CIA;DT_REFER;VERSAO;DENOM_CIA;CD_CVM;GRUPO_DFP;MOEDA;ESCALA_MOEDA;ORDEM_EXERC;DT_FIM_EXERC;CD_CONTA;DS_CONTA;VL_CONTA;ST_CONTA_FIXA
02.635.522/0001-95;2025-03-31;1;JALLES MACHADO S.A.;025496;DF Consolidado - Balanço Patrimonial Passivo;REAL;MIL;PENÚLTIMO;2024-03-31;2.01.05.02.02;Dividendo Mínimo Obrigatório a Pagar;4775.0000000000;S
02.635.522/0001-95;2025-03-31;1;JALLES MACHADO S.A.;025496;DF Consolidado - Balanço Patrimonial Passivo;REAL;MIL;ÚLTIMO;2025-03-31;2.01.05.02.02;Dividendo Mínimo Obrigatório a Pagar;0.0000000000;S
02.635.522/0001-95;2025-03-31;1;JALLES MACHADO S.A.;025496;DF Consolidado - Balanço Patrimonial Passivo;REAL;MIL;PENÚLTIMO;2024-03-31;2.01.05.02.03;Obrigações por Pagamentos Baseados em Ações;0.0000000000;S
02.635.522/0001-95;2025-03-31;1;JALLES MACHADO S.A.;025496;DF Consolidado - Balanço Patrimonial Passivo;REAL;MIL;ÚLTIMO;2025-03-31;2.01.05.02.03;Obrigações por Pagamentos Baseados em Ações;0.0000000000;S
02.635.522/0001-95;2025-03-31;1;JALLES MACHADO S.A.;025496;DF Consolidado - Balanço Patrimonial Passivo;REAL;MIL;PENÚLTIMO;2024-03-31;2.01.05.02.04;Instrumentos financeiros derivativos;88015.0000000000;N
02.635.522/0001-95;2025-03-31;1;JALLES MACHADO S.A.;025496;DF Consolidado - Balanço Patrimonial Passivo;REAL;MIL;ÚLTIMO;2025-03-31;2.01.05.02.04;Instrumentos financeiros derivativos;61591.0000000000;N
02.635.522/0001-95;2025-03-31;1;JALLES MACHADO S.A.;025496;DF Consolidado - Balanço Patrimonial Passivo;REAL;MIL;PENÚLTIMO;2024-03-31;2.01.05.02.05;Adiantamento de clientes;28950.0000000000;N
02.635.522/0001-95;2025-03-31;1;JALLES MACHADO S.A.;025496;DF Consolidado - Balanço Patrimonial Passivo;REAL;MIL;ÚLTIMO;2025-03-31;2.01.05.02.05;Adiantamento de clientes;27526.0000000000;N
02.635.522/0001-95;2025-03-31;1;JALLES MACHADO S.A.;025496;DF Consolidado - Balanço Patrimonial Passivo;REAL;MIL;PENÚLTIMO;2024-03-31;2.01.06;Provisões;0.0000000000;S
02.635.522/0001-95;2025-03-31;1;JALLES MACHADO S.A.;025496;DF Consolidado - Balanço Patrimonial Passivo;REAL;MIL;ÚLTIMO;2025-03-31;2.01.06;Provisões;0.0000000000;S
02.635.522/0001-95;2025-03-31;1;JALLES MACHADO S.A.;025496;DF Consolidado - Balanço Patrimonial Passivo;REAL;MIL;PENÚLTIMO;2024-03-31;2.01.06.01;Provisões Fiscais Previdenciárias Trabalhistas e Cíveis;0.0000000000;S
02.635.522/0001-95;2025-03-31;1;JALLES MACHADO S.A.;025496;DF Consolidado - Balanço Patrimonial Passivo;REAL;MIL;ÚLTIMO;2025-03-31;2.01.06.01;Provisões Fiscais Previdenciárias Trabalhistas e Cíveis;0.0000000000;S
02.635.522/0001-95;2025-03-31;1;JALLES MACHADO S.A.;025496;DF Consolidado - Balanço Patrimonial Passivo;REAL;MIL;PENÚLTIMO;2024-03-31;2.01.06.01.01;Provisões Fiscais;0.0000000000;S
02.635.522/0001-95;2025-03-31;1;JALLES MACHADO S.A.;025496;DF Consolidado - Balanço Patrimonial Passivo;REAL;MIL;ÚLTIMO;2025-03-31;2.01.06.01.01;Provisões Fiscais;0.0000000000;S
02.635.522/0001-95;2025-03-31;1;JALLES MACHADO S.A.;025496;DF Consolidado - Balanço Patrimonial Passivo;REAL;MIL;PENÚLTIMO;2024-03-31;2.01.06.01.02;Provisões Previdenciárias e Trabalhistas;0.0000000000;S
02.635.522/0001-95;2025-03-31;1;JALLES MACHADO S.A.;025496;DF Consolidado - Balanço Patrimonial Passivo;REAL;MIL;ÚLTIMO;2025-03-31;2.01.06.01.02;Provisões Previdenciárias e Trabalhistas;0.0000000000;S
02.635.522/0001-95;2025-03-31;1;JALLES MACHADO S.A.;025496;DF Consolidado - Balanço Patrimonial Passivo;REAL;MIL;PENÚLTIMO;2024-03-31;2.01.06.01.03;Provisões para Benefícios a Empregados;0.0000000000;S
02.635.522/0001-95;2025-03-31;1;JALLES MACHADO S.A.;025496;DF Consolidado - Balanço Patrimonial Passivo;REAL;MIL;ÚLTIMO;2025-03-31;2.01.06.01.03;Provisões para Benefícios a Empregados;0.0000000000;S
02.635.522/0001-95;2025-03-31;1;JALLES MACHADO S.A.;025496;DF Consolidado - Balanço Patrimonial Passivo;REAL;MIL;PENÚLTIMO;2024-03-31;2.01.06.01.04;Provisões Cíveis;0.0000000000;S
02.635.522/0001-95;2025-03-31;1;JALLES MACHADO S.A.;025496;DF Consolidado - Balanço Patrimonial Passivo;REAL;MIL;ÚLTIMO;2025-03-31;2.01.06.01.04;Provisões Cíveis;0.0000000000;S
02.635.522/0001-95;2025-03-31;1;JALLES MACHADO S.A.;025496;DF Consolidado - Balanço Patrimonial Passivo;REAL;MIL;PENÚLTIMO;2024-03-31;2.01.06.02;Outras Provisões;0.0000000000;S
02.635.522/0001-95;2025-03-31;1;JALLES MACHADO S.A.;025496;DF Consolidado - Balanço Patrimonial Passivo;REAL;MIL;ÚLTIMO;2025-03-31;2.01.06.02;Outras Provisões;0.0000000000;S
02.635.522/0001-95;2025-03-31;1;JALLES MACHADO S.A.;025496;DF Consolidado - Balanço Patrimonial Passivo;REAL;MIL;PENÚLTIMO;2024-03-31;2.01.06.02.01;Provisões para Garantias;0.0000000000;S
02.635.522/0001-95;2025-03-31;1;JALLES MACHADO S.A.;025496;DF Consolidado - Balanço Patrimonial Passivo;REAL;MIL;ÚLTIMO;2025-03-31;2.01.06.02.01;Provisões para Garantias;0.0000000000;S
02.635.522/0001-95;2025-03-31;1;JALLES MACHADO S.A.;025496;DF Consolidado - Balanço Patrimonial Passivo;REAL;MIL;PENÚLTIMO;2024-03-31;2.01.06.02.02;Provisões para Reestruturação;0.0000000000;S
02.635.522/0001-95;2025-03-31;1;JALLES MACHADO S.A.;025496;DF Consolidado - Balanço Patrimonial Passivo;REAL;MIL;ÚLTIMO;2025-03-31;2.01.06.02.02;Provisões para Reestruturação;0.0000000000;S
02.635.522/0001-95;2025-03-31;1;JALLES MACHADO S.A.;025496;DF Consolidado - Balanço Patrimonial Passivo;REAL;MIL;PENÚLTIMO;2024-03-31;2.01.06.02.03;Provisões para Passivos Ambientais e de Desativação;0.0000000000;S
02.635.522/0001-95;2025-03-31;1;JALLES MACHADO S.A.;025496;DF Consolidado - Balanço Patrimonial Passivo;REAL;MIL;ÚLTIMO;2025-03-31;2.01.06.02.03;Provisões para Passivos Ambientais e de Desativação;0.0000000000;S
02.635.522/0001-95;2025-03-31;1;JALLES MACHADO S.A.;025496;DF Consolidado - Balanço Patrimonial Passivo;REAL;MIL;PENÚLTIMO;2024-03-31;2.01.07;Passivos sobre Ativos Não-Correntes a Venda e Descontinuados;0.0000000000;S
