CNPJ_CIA;DT_REFER;VERSAO;DENOM_CIA;CD_CVM;GRUPO_DFP;MOEDA;ESCALA_MOEDA;ORDEM_EXERC;DT_INI_EXERC;DT_FIM_EXERC;CD_CONTA;DS_CONTA;VL_CONTA;ST_CONTA_FIXA
02.635.522/0001-95;2025-03-31;1;JALLES MACHADO S.A.;025496;DF Consolidado - Demonstração de Resultado Abrangente;REAL;MIL;ÚLTIMO;2024-04-01;2025-03-31;4.03.02;Atribuído a Sócios Não Controladores;0.0000000000;S
06.981.381/0001-13;2025-03-31;1;CTC - CENTRO DE TECNOLOGIA CANAVIEIRA S.A.;023981;DF Consolidado - Demonstração de Resultado Abrangente;REAL;MIL;PENÚLTIMO;2023-04-01;2024-03-31;4.01;Lucro Líquido Consolidado do Período;152307.0000000000;S
06.981.381/0001-13;2025-03-31;1;CTC - CENTRO DE TECNOLOGIA CANAVIEIRA S.A.;023981;DF Consolidado - Demonstração de Resultado Abrangente;REAL;MIL;ÚLTIMO;2024-04-01;2025-03-31;4.01;Lucro Líquido Consolidado do Período;175677.0000000000;S
06.981.381/0001-13;2025-03-31;1;CTC - CENTRO DE TECNOLOGIA CANAVIEIRA S.A.;023981;DF Consolidado - Demonstração de Resultado Abrangente;REAL;MIL;PENÚLTIMO;2023-04-01;2024-03-31;4.02;Outros Resultados Abrangentes;575.0000000000;S
06.981.381/0001-13;2025-03-31;1;CTC - CENTRO DE TECNOLOGIA CANAVIEIRA S.A.;023981;DF Consolidado - Demonstração de Resultado Abrangente;REAL;MIL;ÚLTIMO;2024-04-01;2025-03-31;4.02;Outros Resultados Abrangentes;819.0000000000;S
06.981.381/0001-13;2025-03-31;1;CTC - CENTRO DE TECNOLOGIA CANAVIEIRA S.A.;023981;DF Consolidado - Demonstração de Resultado Abrangente;REAL;MIL;PENÚLTIMO;2023-04-01;2024-03-31;4.02.01;Efeito de conversão de moeda estrangeira;-85.0000000000;N
06.981.381/0001-13;2025-03-31;1;CTC - CENTRO DE TECNOLOGIA CANAVIEIRA S.A.;023981;DF Consolidado - Demonstração de Resultado Abrangente;REAL;MIL;ÚLTIMO;2024-04-01;2025-03-31;4.02.01;Efeito de conversão de moeda estrangeira;477.0000000000;N
06.981.381/0001-13;2025-03-31;1;CTC - CENTRO DE TECNOLOGIA CANAVIEIRA S.A.;023981;DF Consolidado - Demonstração de Resultado Abrangente;REAL;MIL;PENÚLTIMO;2023-04-01;2024-03-31;4.02.02;Perdas atuarias com plano de befícios;660.0000000000;N
06.981.381/0001-13;2025-03-31;1;CTC - CENTRO DE TECNOLOGIA CANAVIEIRA S.A.;023981;DF Consolidado - Demonstração de Resultado Abrangente;REAL;MIL;ÚLTIMO;2024-04-01;2025-03-31;4.02.02;Perdas atuarias com plano de befícios;342.0000000000;N
06.981.381/0001-13;2025-03-31;1;CTC - CENTRO DE TECNOLOGIA CANAVIEIRA S.A.;023981;DF Consolidado - Demonstração de Resultado Abrangente;REAL;MIL;PENÚLTIMO;2023-04-01;2024-03-31;4.03;Resultado Abrangente Consolidado do Período;152882.0000000000;S
06.981.381/0001-13;2025-03-31;1;CTC - CENTRO DE TECNOLOGIA CANAVIEIRA S.A.;023981;DF Consolidado - Demonstração de Resultado Abrangente;REAL;MIL;ÚLTIMO;2024-04-01;2025-03-31;4.03;Resultado Abrangente Consolidado do Período;176496.0000000000;S
06.981.381/0001-13;2025-03-31;1;CTC - CENTRO DE TECNOLOGIA CANAVIEIRA S.A.;023981;DF Consolidado - Demonstração de Resultado Abrangente;REAL;MIL;PENÚLTIMO;2023-04-01;2024-03-31;4.03.01;Atribuído a Sócios da Empresa Controladora;152882.0000000000;S
06.981.381/0001-13;2025-03-31;1;CTC - CENTRO DE TECNOLOGIA CANAVIEIRA S.A.;023981;DF Consolidado - Demonstração de Resultado Abrangente;REAL;MIL;ÚLTIMO;2024-04-01;2025-03-31;4.03.01;Atribuído a Sócios da Empresa Controladora;176496.0000000000;S
06.981.381/0001-13;2025-03-31;1;CTC - CENTRO DE TECNOLOGIA CANAVIEIRA S.A.;023981;DF Consolidado - Demonstração de Resultado Abrangente;REAL;MIL;PENÚLTIMO;2023-04-01;2024-03-31;4.03.02;Atribuído a Sócios Não Controladores;0.0000000000;S
06.981.381/0001-13;2025-03-31;1;CTC - CENTRO DE TECNOLOGIA CANAVIEIRA S.A.;023981;DF Consolidado - Demonstração de Resultado Abrangente;REAL;MIL;ÚLTIMO;2024-04-01;2025-03-31;4.03.02;Atribuído a Sócios Não Controladores;0.0000000000;S
07.628.528/0001-59;2025-06-30;1;BRASILAGRO - CIA BRAS DE PROP AGRICOLAS;020036;DF Consolidado - Demonstração de Resultado Abrangente;REAL;MIL;PENÚLTIMO;2023-07-01;2024-06-30;4.01;Lucro Líquido Consolidado do Período;226867.0000000000;S
07.628.528/0001-59;2025-06-30;1;BRASILAGRO - CIA BRAS DE PROP AGRICOLAS;020036;DF Consolidado - Demonstração de Resultado Abrangente;REAL;MIL;ÚLTIMO;2024-07-01;2025-06-30;4.01;Lucro Líquido Consolidado do Período;138019.0000000000;S
07.628.528/0001-59;2025-06-30;1;BRASILAGRO - CIA BRAS DE PROP AGRICOLAS;020036;DF Consolidado - Demonstração de Resultado Abrangente;REAL;MIL;PENÚLTIMO;2023-07-01;2024-06-30;4.02;Outros Resultados Abrangentes;54768.0000000000;S
07.628.528/0001-59;2025-06-30;1;BRASILAGRO - CIA BRAS DE PROP AGRICOLAS;020036;DF Consolidado - Demonstração de Resultado Abrangente;REAL;MIL;ÚLTIMO;2024-07-01;2025-06-30;4.02;Outros Resultados Abrangentes;-7462.0000000000;S
07.628.528/0001-59;2025-06-30;1;BRASILAGRO - CIA BRAS DE PROP AGRICOLAS;020036;DF Consolidado - Demonstração de Resultado Abrangente;REAL;MIL;PENÚLTIMO;2023-07-01;2024-06-30;4.02.01;Efeito na conversão de investimentos no exterior;54768.0000000000;N
07.628.528/0001-59;2025-06-30;1;BRASILAGRO - CIA BRAS DE PROP AGRICOLAS;020036;DF Consolidado - Demonstração de Resultado Abrangente;REAL;MIL;ÚLTIMO;2024-07-01;2025-06-30;4.02.01;Efeito na conversão de investimentos no exterior;-7462.0000000000;N
07.628.528/0001-59;2025-06-30;1;BRASILAGRO - CIA BRAS DE PROP AGRICOLAS;020036;DF Consolidado - Demonstração de Resultado Abrangente;REAL;MIL;PENÚLTIMO;2023-07-01;2024-06-30;4.02.02;Baixa de efeito na conversão de joint venture por cisão;0.0000000000;N
07.628.528/0001-59;2025-06-30;1;BRASILAGRO - CIA BRAS DE PROP AGRICOLAS;020036;DF Consolidado - Demonstração de Resultado Abrangente;REAL;MIL;ÚLTIMO;2024-07-01;2025-06-30;4.02.02;Baixa de efeito na conversão de joint venture por cisão;0.0000000000;N
07.628.528/0001-59;2025-06-30;1;BRASILAGRO - CIA BRAS DE PROP AGRICOLAS;020036;DF Consolidado - Demonstração de Resultado Abrangente;REAL;MIL;PENÚLTIMO;2023-07-01;2024-06-30;4.03;Resultado Abrangente Consolidado do Período;281635.0000000000;S
07.628.528/0001-59;2025-06-30;1;BRASILAGRO - CIA BRAS DE PROP AGRICOLAS;020036;DF Consolidado - Demonstração de Resultado Abrangente;REAL;MIL;ÚLTIMO;2024-07-01;2025-06-30;4.03;Resultado Abrangente Consolidado do Período;130557.0000000000;S
07.628.528/0001-59;2025-06-30;1;BRASILAGRO - CIA BRAS DE PROP AGRICOLAS;020036;DF Consolidado - Demonstração de Resultado Abrangente;REAL;MIL;PENÚLTIMO;2023-07-01;2024-06-30;4.03.01;Atribuído a Sócios da Empresa Controladora;281635.0000000000;S
07.628.528/0001-59;2025-06-30;1;BRASILAGRO - CIA BRAS DE PROP AGRICOLAS;020036;DF Consolidado - Demonstração de Resultado Abrangente;REAL;MIL;ÚLTIMO;2024-07-01;2025-06-30;4.03.01;Atribuído a Sócios da Empresa Controladora;130557.0000000000;S
07.628.528/0001-59;2025-06-30;1;BRASILAGRO - CIA BRAS DE PROP AGRICOLAS;020036;DF Consolidado - Demonstração de Resultado Abrangente;REAL;MIL;PENÚLTIMO;2023-07-01;2024-06-30;4.03.02;Atribuído a Sócios Não Controladores;0.0000000000;S
07.628.528/0001-59;2025-06-30;1;BRASILAGRO - CIA BRAS DE PROP AGRICOLAS;020036;DF Consolidado - Demonstração de Resultado Abrangente;REAL;MIL;ÚLTIMO;2024-07-01;2025-06-30;4.03.02;Atribuído a Sócios Não Controladores;0.0000000000;S
08.070.508/0001-78;2025-03-31;1;RAIZEN ENERGIA S.A.;023230;DF Consolidado - Demonstração de Resultado Abrangente;REAL;MIL;PENÚLTIMO;2023-04-01;2024-03-31;4.01;Lucro Líquido Consolidado do Período;-1313314.0000000000;S
08.070.508/0001-78;2025-03-31;1;RAIZEN ENERGIA S.A.;023230;DF Consolidado - Demonstração de Resultado Abrangente;REAL;MIL;ÚLTIMO;2024-04-01;2025-03-31;4.01;Lucro Líquido Consolidado do Período;-6098329.0000000000;S
08.070.508/0001-78;2025-03-31;1;RAIZEN ENERGIA S.A.;023230;DF Consolidado - Demonstração de Resultado Abrangente;REAL;MIL;PENÚLTIMO;2023-04-01;2024-03-31;4.02;Outros Resultados Abrangentes;557480.0000000000;S
08.070.508/0001-78;2025-03-31;1;RAIZEN ENERGIA S.A.;023230;DF Consolidado - Demonstração de Resultado Abrangente;REAL;MIL;ÚLTIMO;2024-04-01;2025-03-31;4.02;Outros Resultados Abrangentes;-297957.0000000000;S
08.070.508/0001-78;2025-03-31;1;RAIZEN ENERGIA S.A.;023230;DF Consolidado - Demonstração de Resultado Abrangente;REAL;MIL;PENÚLTIMO;2023-04-01;2024-03-31;4.02.01;Ajuste de avaliação patrimonial - Perdas atuariais;-601.0000000000;N
08.070.508/0001-78;2025-03-31;1;RAIZEN ENERGIA S.A.;023230;DF Consolidado - Demonstração de Resultado Abrangente;REAL;MIL;ÚLTIMO;2024-04-01;2025-03-31;4.02.01;Ajuste de avaliação patrimonial - Perdas atuariais;15676.0000000000;N
08.070.508/0001-78;2025-03-31;1;RAIZEN ENERGIA S.A.;023230;DF Consolidado - Demonstração de Resultado Abrangente;REAL;MIL;PENÚLTIMO;2023-04-01;2024-03-31;4.02.02;Tributos diferidos sobre ajustes;363.0000000000;N
08.070.508/0001-78;2025-03-31;1;RAIZEN ENERGIA S.A.;023230;DF Consolidado - Demonstração de Resultado Abrangente;REAL;MIL;ÚLTIMO;2024-04-01;2025-03-31;4.02.02;Tributos diferidos sobre ajustes;-4695.0000000000;N
08.070.508/0001-78;2025-03-31;1;RAIZEN ENERGIA S.A.;023230;DF Consolidado - Demonstração de Resultado Abrangente;REAL;MIL;PENÚLTIMO;2023-04-01;2024-03-31;4.02.03;Resultado líquido com instrumentos financeiros designados como hedge accounting;886404.0000000000;N
08.070.508/0001-78;2025-03-31;1;RAIZEN ENERGIA S.A.;023230;DF Consolidado - Demonstração de Resultado Abrangente;REAL;MIL;ÚLTIMO;2024-04-01;2025-03-31;4.02.03;Resultado líquido com instrumentos financeiros designados como hedge accounting;-63902.0000000000;N
08.070.508/0001-78;2025-03-31;1;RAIZEN ENERGIA S.A.;023230;DF Consolidado - Demonstração de Resultado Abrangente;REAL;MIL;PENÚLTIMO;2023-04-01;2024-03-31;4.02.04;Efeitos de conversão de moeda estrangeira;-47729.0000000000;N
08.070.508/0001-78;2025-03-31;1;RAIZEN ENERGIA S.A.;023230;DF Consolidado - Demonstração de Resultado Abrangente;REAL;MIL;ÚLTIMO;2024-04-01;2025-03-31;4.02.04;Efeitos de conversão de moeda estrangeira;-271051.0000000000;N
08.070.508/0001-78;2025-03-31;1;RAIZEN ENERGIA S.A.;023230;DF Consolidado - Demonstração de Resultado Abrangente;REAL;MIL;PENÚLTIMO;2023-04-01;2024-03-31;4.02.05;Tributos diferidos sobre hedge;-310403.0000000000;N
08.070.508/0001-78;2025-03-31;1;RAIZEN ENERGIA S.A.;023230;DF Consolidado - Demonstração de Resultado Abrangente;REAL;MIL;ÚLTIMO;2024-04-01;2025-03-31;4.02.05;Tributos diferidos sobre hedge;19449.0000000000;N
08.070.508/0001-78;2025-03-31;1;RAIZEN ENERGIA S.A.;023230;DF Consolidado - Demonstração de Resultado Abrangente;REAL;MIL;PENÚLTIMO;2023-04-01;2024-03-31;4.02.07;Equivalência patrimonial sobre outros resultados abrangentes;26546.0000000000;N
08.070.508/0001-78;2025-03-31;1;RAIZEN ENERGIA S.A.;023230;DF Consolidado - Demonstração de Resultado Abrangente;REAL;MIL;ÚLTIMO;2024-04-01;2025-03-31;4.02.07;Equivalência patrimonial sobre outros resultados abrangentes;6566.0000000000;N
08.070.508/0001-78;2025-03-31;1;RAIZEN ENERGIA S.A.;023230;DF Consolidado - Demonstração de Resultado Abrangente;REAL;MIL;PENÚLTIMO;2023-04-01;2024-03-31;4.02.08;Outros passivos;4394.0000000000;N
