CNPJ_CIA;DT_REFER;VERSAO;DENOM_CIA;CD_CVM;GRUPO_DFP;MOEDA;ESCALA_MOEDA;ORDEM_EXERC;DT_INI_EXERC;DT_FIM_EXERC;CD_CONTA;DS_CONTA;VL_CONTA;ST_CONTA_FIXA
02.635.522/0001-95;2025-03-31;1;JALLES MACHADO S.A.;025496;DF Consolidado - Demonstração do Resultado;REAL;MIL;PENÚLTIMO;2023-04-01;2024-03-31;3.04.06;Resultado de Equivalência Patrimonial;13146.0000000000;S
02.635.522/0001-95;2025-03-31;1;JALLES MACHADO S.A.;025496;DF Consolidado - Demonstração do Resultado;REAL;MIL;ÚLTIMO;2024-04-01;2025-03-31;3.04.06;Resultado de Equivalência Patrimonial;8325.0000000000;S
02.635.522/0001-95;2025-03-31;1;JALLES MACHADO S.A.;025496;DF Consolidado - Demonstração do Resultado;REAL;MIL;PENÚLTIMO;2023-04-01;2024-03-31;3.05;Resultado Antes do Resultado Financeiro e dos Tributos;374884.0000000000;S
02.635.522/0001-95;2025-03-31;1;JALLES MACHADO S.A.;025496;DF Consolidado - Demonstração do Resultado;REAL;MIL;ÚLTIMO;2024-04-01;2025-03-31;3.05;Resultado Antes do Resultado Financeiro e dos Tributos;471890.0000000000;S
02.635.522/0001-95;2025-03-31;1;JALLES MACHADO S.A.;025496;DF Consolidado - Demonstração do Resultado;REAL;MIL;PENÚLTIMO;2023-04-01;2024-03-31;3.06;Resultado Financeiro;-333739.0000000000;S
02.635.522/0001-95;2025-03-31;1;JALLES MACHADO S.A.;025496;DF Consolidado - Demonstração do Resultado;REAL;MIL;ÚLTIMO;2024-04-01;2025-03-31;3.06;Resultado Financeiro;-618158.0000000000;S
02.635.522/0001-95;2025-03-31;1;JALLES MACHADO S.A.;025496;DF Consolidado - Demonstração do Resultado;REAL;MIL;PENÚLTIMO;2023-04-01;2024-03-31;3.06.01;Receitas Financeiras;140805.0000000000;S
02.635.522/0001-95;2025-03-31;1;JALLES MACHADO S.A.;025496;DF Consolidado - Demonstração do Resultado;REAL;MIL;ÚLTIMO;2024-04-01;2025-03-31;3.06.01;Receitas Financeiras;151557.0000000000;S
02.635.522/0001-95;2025-03-31;1;JALLES MACHADO S.A.;025496;DF Consolidado - Demonstração do Resultado;REAL;MIL;PENÚLTIMO;2023-04-01;2024-03-31;3.06.01.01;Receitas Financeiras;137574.0000000000;N
02.635.522/0001-95;2025-03-31;1;JALLES MACHADO S.A.;025496;DF Consolidado - Demonstração do Resultado;REAL;MIL;ÚLTIMO;2024-04-01;2025-03-31;3.06.01.01;Receitas Financeiras;151557.0000000000;N
02.635.522/0001-95;2025-03-31;1;JALLES MACHADO S.A.;025496;DF Consolidado - Demonstração do Resultado;REAL;MIL;PENÚLTIMO;2023-04-01;2024-03-31;3.06.01.02;Variações monetárias e cambiais líquidas;3231.0000000000;N
02.635.522/0001-95;2025-03-31;1;JALLES MACHADO S.A.;025496;DF Consolidado - Demonstração do Resultado;REAL;MIL;ÚLTIMO;2024-04-01;2025-03-31;3.06.01.02;Variações monetárias e cambiais líquidas;0.0000000000;N
02.635.522/0001-95;2025-03-31;1;JALLES MACHADO S.A.;025496;DF Consolidado - Demonstração do Resultado;REAL;MIL;PENÚLTIMO;2023-04-01;2024-03-31;3.06.02;Despesas Financeiras;-474544.0000000000;S
02.635.522/0001-95;2025-03-31;1;JALLES MACHADO S.A.;025496;DF Consolidado - Demonstração do Resultado;REAL;MIL;ÚLTIMO;2024-04-01;2025-03-31;3.06.02;Despesas Financeiras;-769715.0000000000;S
02.635.522/0001-95;2025-03-31;1;JALLES MACHADO S.A.;025496;DF Consolidado - Demonstração do Resultado;REAL;MIL;PENÚLTIMO;2023-04-01;2024-03-31;3.06.02.01;Despesas Financeiras;-370634.0000000000;N
02.635.522/0001-95;2025-03-31;1;JALLES MACHADO S.A.;025496;DF Consolidado - Demonstração do Resultado;REAL;MIL;ÚLTIMO;2024-04-01;2025-03-31;3.06.02.01;Despesas Financeiras;-501002.0000000000;N
02.635.522/0001-95;2025-03-31;1;JALLES MACHADO S.A.;025496;DF Consolidado - Demonstração do Resultado;REAL;MIL;PENÚLTIMO;2023-04-01;2024-03-31;3.06.02.02;Variações monetárias e cambiais líquidas;0.0000000000;N
